time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-08 00:00:00+00:00,9,5,54.0,2.0
2025-07-09 00:00:00+00:00,10,9,31.0,7.0
2025-07-10 00:00:00+00:00,26,13,55.0,5.0
2025-07-11 00:00:00+00:00,11,9,15.0,2.0
2025-07-12 00:00:00+00:00,9,8,1.0,1.0
2025-07-13 00:00:00+00:00,12,10,4.0,1.0
2025-07-14 00:00:00+00:00,11,10,53.0,5.0
2025-07-15 00:00:00+00:00,13,9,1.0,1.0
2025-07-16 00:00:00+00:00,8,7,7.0,5.0
2025-07-17 00:00:00+00:00,7,6,15.0,3.0
2025-07-18 00:00:00+00:00,6,5,,
2025-07-19 00:00:00+00:00,5,4,1.0,1.0
2025-07-20 00:00:00+00:00,4,3,6.0,2.0
2025-07-21 00:00:00+00:00,7,6,14.0,2.0
