time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-11 00:00:00+00:00,47,14,50,11
2025-08-12 00:00:00+00:00,47,7,110,22
2025-08-13 00:00:00+00:00,30,12,49,11
2025-08-14 00:00:00+00:00,5,4,25,12
2025-08-15 00:00:00+00:00,4,3,8,3
2025-08-16 00:00:00+00:00,11,10,6,2
2025-08-17 00:00:00+00:00,13,12,8,4
2025-08-18 00:00:00+00:00,8,7,11,4
2025-08-19 00:00:00+00:00,11,7,7,3
2025-08-20 00:00:00+00:00,10,9,7,2
2025-08-21 00:00:00+00:00,52,11,85,2
2025-08-22 00:00:00+00:00,11,9,51,8
2025-08-23 00:00:00+00:00,12,10,3,1
2025-08-24 00:00:00+00:00,4,2,2,2
