url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,47,22
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),30,14
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,14,5
/DataJourneyHQ/DataJourney/wiki,11,7
/DataJourneyHQ/DataJourney/issues,8,6
/DataJourneyHQ/DataJourney/pulls,7,3
/DataJourneyHQ/DataJourney/pull/214,4,4
/DataJourneyHQ/DataJourney/commits,4,2
/DataJourneyHQ/DataJourney/actions/runs/20872610075/job/59976966148,3,1
/DataJourneyHQ/DataJourney/pull/214/files,3,1
