url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,79,17
/DataJourneyHQ/DataJourney/discussions,13,2
/DataJourneyHQ/DataJourney/pulls,13,1
/DataJourneyHQ/DataJourney/issues,10,5
/DataJourneyHQ/DataJourney/discussions/227,10,1
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,7,3
/DataJourneyHQ/DataJourney/pull/238,7,1
/DataJourneyHQ/DataJourney/tree/main/analytics_framework,7,1
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),6,4
/DataJourneyHQ/DataJourney/tree/main/assets,5,3
