url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,17,8
/DataJourneyHQ/DataJourney/issues,4,4
/DataJourneyHQ/DataJourney/security/dependabot,3,1
/DataJourneyHQ/DataJourney/blob/main/.github/workflows/list-github-models.yml,2,2
/DataJourneyHQ/DataJourney/discussions,2,2
/DataJourneyHQ/DataJourney/blob/main/requirements/requirements.txt,2,1
/DataJourneyHQ/DataJourney/commits,2,1
/DataJourneyHQ/DataJourney/security,2,1
/DataJourneyHQ/DataJourney/security/code-scanning,2,1
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),2,1
