url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,81,15
/DataJourneyHQ/DataJourney/pulls,16,1
/DataJourneyHQ/DataJourney/discussions,13,2
/DataJourneyHQ/DataJourney/issues,10,5
/DataJourneyHQ/DataJourney/discussions/227,10,1
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,8,3
/DataJourneyHQ/DataJourney/pull/238,7,1
/DataJourneyHQ/DataJourney/tree/main/analytics_framework,7,1
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),6,4
/DataJourneyHQ/DataJourney/pull/233,6,1
