time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,19,8,4,2
2026-08-11 00:00:00+00:00,21,9,2,2
2026-08-12 00:00:00+00:00,7,6,2,1
2026-08-13 00:00:00+00:00,13,7,2,2
2026-08-14 00:00:00+00:00,27,11,6,3
2026-08-15 00:00:00+00:00,12,7,4,4
2026-08-16 00:00:00+00:00,19,7,8,4
2026-08-17 00:00:00+00:00,7,6,4,3
2026-08-18 00:00:00+00:00,10,7,4,2
2026-08-19 00:00:00+00:00,12,6,3,2
2026-08-20 00:00:00+00:00,9,5,2,2
2026-08-21 00:00:00+00:00,15,9,6,3
2026-08-22 00:00:00+00:00,11,7,1,1
2026-08-23 00:00:00+00:00,6,5,1,1
