url_path,views_total,views_unique
/DataJourneyHQ/DataJourney,50,21
/DataJourneyHQ/DataJourney/wiki/Contribution-Guidelines-(AI‐Aware),27,13
/DataJourneyHQ/DataJourney/wiki/Contribute-to-DataJourney,14,5
/DataJourneyHQ/DataJourney/wiki,10,6
/DataJourneyHQ/DataJourney/issues,9,6
/DataJourneyHQ/DataJourney/pulls,8,3
/DataJourneyHQ/DataJourney/pull/214,4,4
/DataJourneyHQ/DataJourney/commits,4,2
/DataJourneyHQ/DataJourney/actions/runs/20872610075/job/59976966148,3,1
/DataJourneyHQ/DataJourney/pull/182,3,1
