time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-09 00:00:00+00:00,15,7,14,2
2025-05-10 00:00:00+00:00,10,5,14,4
2025-05-11 00:00:00+00:00,10,5,5,3
2025-05-12 00:00:00+00:00,9,6,45,5
2025-05-13 00:00:00+00:00,10,6,3,1
2025-05-14 00:00:00+00:00,19,5,68,4
2025-05-15 00:00:00+00:00,7,4,18,3
2025-05-16 00:00:00+00:00,9,4,22,3
2025-05-17 00:00:00+00:00,10,7,7,1
2025-05-18 00:00:00+00:00,8,6,8,1
2025-05-19 00:00:00+00:00,12,6,12,4
2025-05-20 00:00:00+00:00,18,8,23,3
2025-05-21 00:00:00+00:00,4,3,10,2
2025-05-22 00:00:00+00:00,4,1,51,5
